kind,op,scalar,backend,shape_class,m,n,k,batch,chosen_origin,chosen_algo,calls,native_route_existed,native_route_supported,library,uplo,side,diag,transA,transB
reached,gemm,complex<double>,AUTO,2309,512,512,512,63,vendor,auto,48,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,2309,512,512,512,63,vendor,auto,48,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,2309,512,512,512,63,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2309,512,512,512,63,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2307,512,512,512,8,vendor,auto,48,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2307,512,512,512,8,vendor,auto,48,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2307,512,512,512,8,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2307,512,512,512,8,vendor,auto,48,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,2307,512,512,512,8,vendor,auto,48,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,2307,512,512,512,8,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2307,512,512,512,8,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2304,512,512,512,1,vendor,auto,48,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2304,512,512,512,1,vendor,auto,48,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2304,512,512,512,1,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2059,256,256,256,2048,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2059,256,256,256,2048,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2059,256,256,256,2048,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2059,256,256,256,2048,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,2059,256,256,256,2048,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2057,256,256,256,512,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2057,256,256,256,512,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2057,256,256,256,512,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2057,256,256,256,512,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,2057,256,256,256,512,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2055,256,256,256,128,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2055,256,256,256,128,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2055,256,256,256,128,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2055,256,256,256,128,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,2055,256,256,256,128,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2054,256,256,256,64,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2053,256,256,256,63,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2053,256,256,256,63,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2053,256,256,256,63,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2053,256,256,256,63,vendor,auto,24,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,2053,256,256,256,63,vendor,auto,24,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,2053,256,256,256,63,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2053,256,256,256,63,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2053,256,256,256,63,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,2053,256,256,256,63,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2051,256,256,256,8,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2051,256,256,256,8,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2051,256,256,256,8,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2051,256,256,256,8,vendor,auto,24,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,2051,256,256,256,8,vendor,auto,24,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,2051,256,256,256,8,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2051,256,256,256,8,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2051,256,256,256,8,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,2048,256,256,256,1,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2048,256,256,256,1,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2048,256,256,256,1,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1803,128,128,128,2048,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1803,128,128,128,2048,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1803,128,128,128,2048,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1803,128,128,128,2048,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1803,128,128,128,2048,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1801,128,128,128,512,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1801,128,128,128,512,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1801,128,128,128,512,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1801,128,128,128,512,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1801,128,128,128,512,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1799,128,128,128,128,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1799,128,128,128,128,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1799,128,128,128,128,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1799,128,128,128,128,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1799,128,128,128,128,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1797,128,128,128,63,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,1797,128,128,128,63,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,1797,128,128,128,63,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1797,128,128,128,63,vendor,auto,24,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,1797,128,128,128,63,vendor,auto,24,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,1797,128,128,128,63,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1797,128,128,128,63,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1797,128,128,128,63,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1797,128,128,128,63,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1795,128,128,128,8,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,1795,128,128,128,8,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,1795,128,128,128,8,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1795,128,128,128,8,vendor,auto,24,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,1795,128,128,128,8,vendor,auto,24,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,1795,128,128,128,8,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1795,128,128,128,8,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1795,128,128,128,8,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1547,64,64,64,2048,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1547,64,64,64,2048,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1547,64,64,64,2048,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1547,64,64,64,2048,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1547,64,64,64,2048,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1545,64,64,64,512,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1545,64,64,64,512,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1545,64,64,64,512,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1545,64,64,64,512,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1543,64,64,64,128,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1543,64,64,64,128,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1543,64,64,64,128,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1543,64,64,64,128,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1543,64,64,64,128,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1541,64,64,64,63,vendor,auto,48,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,1541,64,64,64,63,vendor,auto,48,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,1541,64,64,64,63,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1541,64,64,64,63,vendor,auto,48,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,1541,64,64,64,63,vendor,auto,48,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,1541,64,64,64,63,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1541,64,64,64,63,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1541,64,64,64,63,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1541,64,64,64,63,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1539,64,64,64,8,vendor,auto,48,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,1539,64,64,64,8,vendor,auto,48,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,1539,64,64,64,8,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1539,64,64,64,8,vendor,auto,48,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,1539,64,64,64,8,vendor,auto,48,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,1539,64,64,64,8,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1539,64,64,64,8,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1539,64,64,64,8,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1291,32,32,32,2048,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1291,32,32,32,2048,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1291,32,32,32,2048,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1291,32,32,32,2048,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1291,32,32,32,2048,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1289,32,32,32,512,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1289,32,32,32,512,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1289,32,32,32,512,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1289,32,32,32,512,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1289,32,32,32,512,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1287,32,32,32,128,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1287,32,32,32,128,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1287,32,32,32,128,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1287,32,32,32,128,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1287,32,32,32,128,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1285,32,32,32,63,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1285,32,32,32,63,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1285,32,32,32,63,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1285,32,32,32,63,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1285,32,32,32,63,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1283,32,32,32,8,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1283,32,32,32,8,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1283,32,32,32,8,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1283,32,32,32,8,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,2565,1024,1024,1024,63,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1035,16,16,16,2048,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2565,1024,1024,1024,63,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1035,16,16,16,2048,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,1035,16,16,16,2048,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1035,16,16,16,2048,vendor,auto,24,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,1035,16,16,16,2048,vendor,auto,24,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,1035,16,16,16,2048,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1035,16,16,16,2048,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1035,16,16,16,2048,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1035,16,16,16,2048,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2563,1024,1024,1024,8,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1033,16,16,16,512,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2563,1024,1024,1024,8,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1033,16,16,16,512,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,1033,16,16,16,512,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1033,16,16,16,512,vendor,auto,24,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,1033,16,16,16,512,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1033,16,16,16,512,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1033,16,16,16,512,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1033,16,16,16,512,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1031,16,16,16,128,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1031,16,16,16,128,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1031,16,16,16,128,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1031,16,16,16,128,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1031,16,16,16,128,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1029,16,16,16,63,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1029,16,16,16,63,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1029,16,16,16,63,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1029,16,16,16,63,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,1029,16,16,16,63,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1027,16,16,16,8,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,1027,16,16,16,8,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,1027,16,16,16,8,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,1027,16,16,16,8,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,2309,512,512,512,63,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,779,8,8,8,2048,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2309,512,512,512,63,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,779,8,8,8,2048,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,779,8,8,8,2048,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,779,8,8,8,2048,vendor,auto,24,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,779,8,8,8,2048,vendor,auto,24,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,779,8,8,8,2048,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,779,8,8,8,2048,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,779,8,8,8,2048,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,779,8,8,8,2048,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2307,512,512,512,8,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,777,8,8,8,512,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2307,512,512,512,8,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,777,8,8,8,512,vendor,auto,24,1,1,,1,0,0,2,1
